@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
37,0,487,0,1,1,0.070611,1,0.929389,0.131907,1,1,0
37,0,486,1,0.997947,1,0.070746,1,0.929254,0.132143,0.998092,1.001912,0
37,0,485,2,0.995893,1,0.070881,1,0.929119,0.132379,0.996183,1.003831,0
37,0,484,3,0.99384,1,0.071017,1,0.928983,0.132616,0.994275,1.005758,0
37,0,483,4,0.991786,1,0.071154,1,0.928846,0.132855,0.992366,1.007692,0
37,0,482,5,0.989733,1,0.071291,1,0.928709,0.133094,0.990458,1.009634,0
37,0,481,6,0.98768,1,0.071429,1,0.928571,0.133333,0.98855,1.011583,0
37,0,480,7,0.985626,1,0.071567,1,0.928433,0.133574,0.986641,1.01354,0
37,0,479,8,0.983573,1,0.071705,1,0.928295,0.133816,0.984733,1.015504,0
37,0,478,9,0.98152,1,0.071845,1,0.928155,0.134058,0.982824,1.017476,0
37,0,477,10,0.979466,1,0.071984,1,0.928016,0.134301,0.980916,1.019455,0
37,0,476,11,0.977413,1,0.072125,1,0.927875,0.134545,0.979008,1.021442,0
37,0,475,12,0.975359,1,0.072266,1,0.927734,0.134791,0.977099,1.023438,0
37,0,474,13,0.973306,1,0.072407,1,0.927593,0.135036,0.975191,1.02544,0
37,0,473,14,0.971253,1,0.072549,1,0.927451,0.135283,0.973282,1.027451,0
37,0,472,15,0.969199,1,0.072692,1,0.927308,0.135531,0.971374,1.02947,0
37,0,471,16,0.967146,1,0.072835,1,0.927165,0.13578,0.969466,1.031496,0
37,0,470,17,0.965092,1,0.072978,1,0.927022,0.136029,0.967557,1.033531,0
37,0,469,18,0.963039,1,0.073123,1,0.926877,0.13628,0.965649,1.035573,0
37,0,468,19,0.960986,1,0.073267,1,0.926733,0.136531,0.96374,1.037624,0
37,0,467,20,0.958932,1,0.073413,1,0.926587,0.136784,0.961832,1.039683,0
37,0,466,21,0.956879,1,0.073559,1,0.926441,0.137037,0.959924,1.04175,0
37,0,465,22,0.954825,1,0.073705,1,0.926295,0.137291,0.958015,1.043825,0
