@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
41,0,483,0,1,1,0.078244,1,0.921756,0.145133,1,1,0
41,0,482,1,0.99793,1,0.078394,1,0.921606,0.14539,0.998092,1.001912,0
41,0,481,2,0.995859,1,0.078544,1,0.921456,0.145648,0.996183,1.003831,0
41,0,480,3,0.993789,1,0.078695,1,0.921305,0.145907,0.994275,1.005758,0
41,0,479,4,0.991718,1,0.078846,1,0.921154,0.146168,0.992366,1.007692,0
41,0,478,5,0.989648,1,0.078998,1,0.921002,0.146429,0.990458,1.009634,0
41,0,477,6,0.987578,1,0.079151,1,0.920849,0.146691,0.98855,1.011583,0
41,0,476,7,0.985507,1,0.079304,1,0.920696,0.146953,0.986641,1.01354,0
41,0,475,8,0.983437,1,0.079457,1,0.920543,0.147217,0.984733,1.015504,0
41,0,474,9,0.981366,1,0.079612,1,0.920388,0.147482,0.982824,1.017476,0
41,0,473,10,0.979296,1,0.079767,1,0.920233,0.147748,0.980916,1.019455,0
41,0,472,11,0.977226,1,0.079922,1,0.920078,0.148014,0.979008,1.021442,0
41,0,471,12,0.975155,1,0.080078,1,0.919922,0.148282,0.977099,1.023438,0
41,0,470,13,0.973085,1,0.080235,1,0.919765,0.148551,0.975191,1.02544,0
41,0,469,14,0.971014,1,0.080392,1,0.919608,0.14882,0.973282,1.027451,0
41,0,468,15,0.968944,1,0.08055,1,0.91945,0.149091,0.971374,1.02947,0
41,0,467,16,0.966874,1,0.080709,1,0.919291,0.149362,0.969466,1.031496,0
41,0,466,17,0.964803,1,0.080868,1,0.919132,0.149635,0.967557,1.033531,0
41,0,465,18,0.962733,1,0.081028,1,0.918972,0.149909,0.965649,1.035573,0
41,0,464,19,0.960663,1,0.081188,1,0.918812,0.150183,0.96374,1.037624,0
41,0,463,20,0.958592,1,0.081349,1,0.918651,0.150459,0.961832,1.039683,0
41,0,462,21,0.956522,1,0.081511,1,0.918489,0.150735,0.959924,1.04175,0
41,0,461,22,0.954451,1,0.081673,1,0.918327,0.151013,0.958015,1.043825,0
41,0,460,23,0.952381,1,0.081836,1,0.918164,0.151292,0.956107,1.045908,0
41,0,459,24,0.950311,1,0.082,1,0.918,0.151571,0.954198,1.048,0
41,0,458,25,0.94824,1,0.082164,1,0.917836,0.151852,0.95229,1.0501,0
41,0,457,26,0.94617,1,0.082329,1,0.917671,0.152134,0.950382,1.052209,0
41,0,456,27,0.944099,1,0.082495,1,0.917505,0.152416,0.948473,1.054326,0
41,0,455,28,0.942029,1,0.082661,1,0.917339,0.1527,0.946565,1.056452,0
41,0,454,29,0.939959,1,0.082828,1,0.917172,0.152985,0.944656,1.058586,0
41,0,453,30,0.937888,1,0.082996,1,0.917004,0.153271,0.942748,1.060729,0
41,0,452,31,0.935818,1,0.083164,1,0.916836,0.153558,0.94084,1.06288,0
41,0,451,32,0.933747,1,0.083333,1,0.916667,0.153846,0.938931,1.065041,0
41,0,450,33,0.931677,1,0.083503,1,0.916497,0.154135,0.937023,1.06721,0
41,0,449,34,0.929607,1,0.083673,1,0.916327,0.154426,0.935115,1.069388,0
41,0,448,35,0.927536,1,0.083845,1,0.916155,0.154717,0.933206,1.071575,0
41,0,447,36,0.925466,1,0.084016,1,0.915984,0.155009,0.931298,1.07377,0
41,0,446,37,0.923395,1,0.084189,1,0.915811,0.155303,0.929389,1.075975,0
41,0,445,38,0.921325,1,0.084362,1,0.915638,0.155598,0.927481,1.078189,0
41,0,444,39,0.919255,1,0.084536,1,0.915464,0.155894,0.925573,1.080412,0
41,0,443,40,0.917184,1,0.084711,1,0.915289,0.15619,0.923664,1.082645,0
41,0,442,41,0.915114,1,0.084886,1,0.915114,0.156489,0.921756,1.084886,0
41,0,441,42,0.913043,1,0.085062,1,0.914938,0.156788,0.919847,1.087137,0
41,0,440,43,0.910973,1,0.085239,1,0.914761,0.157088,0.917939,1.089397,0
41,0,439,44,0.908903,1,0.085417,1,0.914583,0.15739,0.916031,1.091667,0
41,0,438,45,0.906832,1,0.085595,1,0.914405,0.157692,0.914122,1.093946,0
41,0,437,46,0.904762,1,0.085774,1,0.914226,0.157996,0.912214,1.096234,0
41,0,436,47,0.902692,1,0.085954,1,0.914046,0.158301,0.910305,1.098532,0
41,0,435,48,0.900621,1,0.086134,1,0.913866,0.158607,0.908397,1.10084,0
41,0,434,49,0.898551,1,0.086316,1,0.913684,0.158915,0.906489,1.103158,0
41,0,433,50,0.89648,1,0.086498,1,0.913502,0.159223,0.90458,1.105485,0
41,0,432,51,0.89441,1,0.086681,1,0.913319,0.159533,0.902672,1.107822,0
41,0,431,52,0.89234,1,0.086864,1,0.913136,0.159844,0.900763,1.110169,0
41,0,430,53,0.890269,1,0.087049,1,0.912951,0.160156,0.898855,1.112527,0
41,0,429,54,0.888199,1,0.087234,1,0.912766,0.16047,0.896947,1.114894,0
41,0,428,55,0.886128,1,0.08742,1,0.91258,0.160784,0.895038,1.117271,0
41,0,427,56,0.884058,1,0.087607,1,0.912393,0.1611,0.89313,1.119658,0
41,0,426,57,0.881988,1,0.087794,1,0.912206,0.161417,0.891221,1.122056,0
41,0,425,58,0.879917,1,0.087983,1,0.912017,0.161736,0.889313,1.124464,0
41,0,424,59,0.877847,1,0.088172,1,0.911828,0.162055,0.887405,1.126882,0
41,0,423,60,0.875776,1,0.088362,1,0.911638,0.162376,0.885496,1.12931,0
41,0,422,61,0.873706,1,0.088553,1,0.911447,0.162698,0.883588,1.131749,0
41,0,421,62,0.871636,1,0.088745,1,0.911255,0.163022,0.881679,1.134199,0
41,0,420,63,0.869565,1,0.088937,1,0.911063,0.163347,0.879771,1.136659,0
41,0,419,64,0.867495,1,0.08913,1,0.91087,0.163673,0.877863,1.13913,0
41,0,418,65,0.865424,1,0.089325,1,0.910675,0.164,0.875954,1.141612,0
41,0,417,66,0.863354,1,0.08952,1,0.91048,0.164329,0.874046,1.144105,0
41,0,416,67,0.861284,1,0.089716,1,0.910284,0.164659,0.872137,1.146608,0
41,0,415,68,0.859213,1,0.089912,1,0.910088,0.16499,0.870229,1.149123,0
41,0,414,69,0.857143,1,0.09011,1,0.90989,0.165323,0.868321,1.151648,0
41,0,413,70,0.855072,1,0.090308,1,0.909692,0.165657,0.866412,1.154185,0
41,0,412,71,0.853002,1,0.090508,1,0.909492,0.165992,0.864504,1.156733,0
41,0,411,72,0.850932,1,0.090708,1,0.909292,0.166329,0.862595,1.159292,0
41,0,410,73,0.848861,1,0.090909,1,0.909091,0.166667,0.860687,1.161863,0
41,0,409,74,0.846791,1,0.091111,1,0.908889,0.167006,0.858779,1.164444,0
41,0,408,75,0.84472,1,0.091314,1,0.908686,0.167347,0.85687,1.167038,0
41,0,407,76,0.84265,1,0.091518,1,0.908482,0.167689,0.854962,1.169643,0
41,0,406,77,0.84058,1,0.091723,1,0.908277,0.168033,0.853053,1.17226,0
41,0,405,78,0.838509,1,0.091928,1,0.908072,0.168378,0.851145,1.174888,0
41,0,404,79,0.836439,1,0.092135,1,0.907865,0.168724,0.849237,1.177528,0
41,0,403,80,0.834369,1,0.092342,1,0.907658,0.169072,0.847328,1.18018,0
41,0,402,81,0.832298,1,0.092551,1,0.907449,0.169421,0.84542,1.182844,0
41,0,401,82,0.830228,1,0.09276,1,0.90724,0.169772,0.843511,1.18552,0
41,0,400,83,0.828157,1,0.092971,1,0.907029,0.170124,0.841603,1.188209,0
41,0,399,84,0.826087,1,0.093182,1,0.906818,0.170478,0.839695,1.190909,0
41,0,398,85,0.824017,1,0.093394,1,0.906606,0.170833,0.837786,1.193622,0
41,0,397,86,0.821946,1,0.093607,1,0.906393,0.17119,0.835878,1.196347,0
41,0,396,87,0.819876,1,0.093822,1,0.906178,0.171548,0.833969,1.199085,0
41,0,395,88,0.817805,1,0.094037,1,0.905963,0.171908,0.832061,1.201835,0
41,0,394,89,0.815735,1,0.094253,1,0.905747,0.172269,0.830153,1.204598,0
41,0,393,90,0.813665,1,0.09447,1,0.90553,0.172632,0.828244,1.207373,0
41,0,392,91,0.811594,1,0.094688,1,0.905312,0.172996,0.826336,1.210162,0
41,0,391,92,0.809524,1,0.094907,1,0.905093,0.173362,0.824427,1.212963,0
41,0,390,93,0.807453,1,0.095128,1,0.904872,0.173729,0.822519,1.215777,0
41,0,389,94,0.805383,1,0.095349,1,0.904651,0.174098,0.820611,1.218605,0
41,0,388,95,0.803313,1,0.095571,1,0.904429,0.174468,0.818702,1.221445,0
41,0,387,96,0.801242,1,0.095794,1,0.904206,0.17484,0.816794,1.224299,0
41,0,386,97,0.799172,1,0.096019,1,0.903981,0.175214,0.814885,1.227166,0
41,0,385,98,0.797101,1,0.096244,1,0.903756,0.175589,0.812977,1.230047,0
41,0,384,99,0.795031,1,0.096471,1,0.903529,0.175966,0.811069,1.232941,0
41,0,383,100,0.792961,1,0.096698,1,0.903302,0.176344,0.80916,1.235849,0
41,0,382,101,0.79089,1,0.096927,1,0.903073,0.176724,0.807252,1.238771,0
41,0,381,102,0.78882,1,0.097156,1,0.902844,0.177106,0.805344,1.241706,0
41,0,380,103,0.786749,1,0.097387,1,0.902613,0.177489,0.803435,1.244656,0
41,0,379,104,0.784679,1,0.097619,1,0.902381,0.177874,0.801527,1.247619,0
41,0,378,105,0.782609,1,0.097852,1,0.902148,0.178261,0.799618,1.250597,0
41,0,377,106,0.780538,1,0.098086,1,0.901914,0.178649,0.79771,1.253589,0
41,0,376,107,0.778468,1,0.098321,1,0.901679,0.179039,0.795802,1.256595,0
41,0,375,108,0.776398,1,0.098558,1,0.901442,0.179431,0.793893,1.259615,0
41,0,374,109,0.774327,1,0.098795,1,0.901205,0.179825,0.791985,1.262651,0
41,0,373,110,0.772257,1,0.099034,1,0.900966,0.18022,0.790076,1.2657,0
41,0,372,111,0.770186,1,0.099274,1,0.900726,0.180617,0.788168,1.268765,0
41,0,371,112,0.768116,1,0.099515,1,0.900485,0.181015,0.78626,1.271845,0
41,0,370,113,0.766046,1,0.099757,1,0.900243,0.181416,0.784351,1.274939,0
41,0,369,114,0.763975,1,0.1,1,0.9,0.181818,0.782443,1.278049,0
41,0,368,115,0.761905,1,0.100244,1,0.899756,0.182222,0.780534,1.281174,0
41,0,367,116,0.759834,1,0.10049,1,0.89951,0.182628,0.778626,1.284314,0
41,0,366,117,0.757764,1,0.100737,1,0.899263,0.183036,0.776718,1.287469,0
41,0,365,118,0.755694,1,0.100985,1,0.899015,0.183445,0.774809,1.29064,0
41,0,364,119,0.753623,1,0.101235,1,0.898765,0.183857,0.772901,1.293827,0
41,0,363,120,0.751553,1,0.101485,1,0.898515,0.18427,0.770992,1.29703,0
41,0,362,121,0.749482,1,0.101737,1,0.898263,0.184685,0.769084,1.300248,0
41,0,361,122,0.747412,1,0.10199,1,0.89801,0.185102,0.767176,1.303483,0
41,0,360,123,0.745342,1,0.102244,1,0.897756,0.18552,0.765267,1.306733,0
41,0,359,124,0.743271,1,0.1025,1,0.8975,0.185941,0.763359,1.31,0
41,0,358,125,0.741201,1,0.102757,1,0.897243,0.186364,0.76145,1.313283,0
41,0,357,126,0.73913,1,0.103015,1,0.896985,0.186788,0.759542,1.316583,0
41,0,356,127,0.73706,1,0.103275,1,0.896725,0.187215,0.757634,1.319899,0
41,0,355,128,0.73499,1,0.103535,1,0.896465,0.187643,0.755725,1.323232,0
