@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
45,0,479,0,1,1,0.085878,1,0.914122,0.158172,1,1,0
45,0,478,1,0.997912,1,0.086042,1,0.913958,0.158451,0.998092,1.001912,0
45,0,477,2,0.995825,1,0.086207,1,0.913793,0.15873,0.996183,1.003831,0
45,0,476,3,0.993737,1,0.086372,1,0.913628,0.159011,0.994275,1.005758,0
45,0,475,4,0.991649,1,0.086538,1,0.913462,0.159292,0.992366,1.007692,0
45,0,474,5,0.989562,1,0.086705,1,0.913295,0.159574,0.990458,1.009634,0
45,0,473,6,0.987474,1,0.086873,1,0.913127,0.159858,0.98855,1.011583,0
45,0,472,7,0.985386,1,0.087041,1,0.912959,0.160142,0.986641,1.01354,0
45,0,471,8,0.983299,1,0.087209,1,0.912791,0.160428,0.984733,1.015504,0
45,0,470,9,0.981211,1,0.087379,1,0.912621,0.160714,0.982824,1.017476,0
45,0,469,10,0.979123,1,0.087549,1,0.912451,0.161002,0.980916,1.019455,0
45,0,468,11,0.977035,1,0.087719,1,0.912281,0.16129,0.979008,1.021442,0
45,0,467,12,0.974948,1,0.087891,1,0.912109,0.16158,0.977099,1.023438,0
45,0,466,13,0.97286,1,0.088063,1,0.911937,0.161871,0.975191,1.02544,0
45,0,465,14,0.970772,1,0.088235,1,0.911765,0.162162,0.973282,1.027451,0
45,0,464,15,0.968685,1,0.088409,1,0.911591,0.162455,0.971374,1.02947,0
45,0,463,16,0.966597,1,0.088583,1,0.911417,0.162749,0.969466,1.031496,0
45,0,462,17,0.964509,1,0.088757,1,0.911243,0.163043,0.967557,1.033531,0
45,0,461,18,0.962422,1,0.088933,1,0.911067,0.163339,0.965649,1.035573,0
45,0,460,19,0.960334,1,0.089109,1,0.910891,0.163636,0.96374,1.037624,0
45,0,459,20,0.958246,1,0.089286,1,0.910714,0.163934,0.961832,1.039683,0
45,0,458,21,0.956159,1,0.089463,1,0.910537,0.164234,0.959924,1.04175,0
45,0,457,22,0.954071,1,0.089641,1,0.910359,0.164534,0.958015,1.043825,0
45,0,456,23,0.951983,1,0.08982,1,0.91018,0.164835,0.956107,1.045908,0
45,0,455,24,0.949896,1,0.09,1,0.91,0.165138,0.954198,1.048,0
45,0,454,25,0.947808,1,0.09018,1,0.90982,0.165441,0.95229,1.0501,0
45,0,453,26,0.94572,1,0.090361,1,0.909639,0.165746,0.950382,1.052209,0
45,0,452,27,0.943633,1,0.090543,1,0.909457,0.166052,0.948473,1.054326,0
45,0,451,28,0.941545,1,0.090726,1,0.909274,0.166359,0.946565,1.056452,0
45,0,450,29,0.939457,1,0.090909,1,0.909091,0.166667,0.944656,1.058586,0
45,0,449,30,0.93737,1,0.091093,1,0.908907,0.166976,0.942748,1.060729,0
45,0,448,31,0.935282,1,0.091278,1,0.908722,0.167286,0.94084,1.06288,0
45,0,447,32,0.933194,1,0.091463,1,0.908537,0.167598,0.938931,1.065041,0
45,0,446,33,0.931106,1,0.09165,1,0.90835,0.16791,0.937023,1.06721,0
45,0,445,34,0.929019,1,0.091837,1,0.908163,0.168224,0.935115,1.069388,0
45,0,444,35,0.926931,1,0.092025,1,0.907975,0.168539,0.933206,1.071575,0
45,0,443,36,0.924843,1,0.092213,1,0.907787,0.168856,0.931298,1.07377,0
45,0,442,37,0.922756,1,0.092402,1,0.907598,0.169173,0.929389,1.075975,0
45,0,441,38,0.920668,1,0.092593,1,0.907407,0.169492,0.927481,1.078189,0
45,0,440,39,0.91858,1,0.092784,1,0.907216,0.169811,0.925573,1.080412,0
45,0,439,40,0.916493,1,0.092975,1,0.907025,0.170132,0.923664,1.082645,0
45,0,438,41,0.914405,1,0.093168,1,0.906832,0.170455,0.921756,1.084886,0
45,0,437,42,0.912317,1,0.093361,1,0.906639,0.170778,0.919847,1.087137,0
45,0,436,43,0.91023,1,0.093555,1,0.906445,0.171103,0.917939,1.089397,0
45,0,435,44,0.908142,1,0.09375,1,0.90625,0.171429,0.916031,1.091667,0
45,0,434,45,0.906054,1,0.093946,1,0.906054,0.171756,0.914122,1.093946,0
45,0,433,46,0.903967,1,0.094142,1,0.905858,0.172084,0.912214,1.096234,0
45,0,432,47,0.901879,1,0.09434,1,0.90566,0.172414,0.910305,1.098532,0
45,0,431,48,0.899791,1,0.094538,1,0.905462,0.172745,0.908397,1.10084,0
45,0,430,49,0.897704,1,0.094737,1,0.905263,0.173077,0.906489,1.103158,0
45,0,429,50,0.895616,1,0.094937,1,0.905063,0.17341,0.90458,1.105485,0
45,0,428,51,0.893528,1,0.095137,1,0.904863,0.173745,0.902672,1.107822,0
45,0,427,52,0.891441,1,0.095339,1,0.904661,0.174081,0.900763,1.110169,0
45,0,426,53,0.889353,1,0.095541,1,0.904459,0.174419,0.898855,1.112527,0
45,0,425,54,0.887265,1,0.095745,1,0.904255,0.174757,0.896947,1.114894,0
44,1,425,54,0.887265,0.977778,0.093817,0.977778,0.906183,0.171206,0.895038,1.092443,0
44,1,424,55,0.885177,0.977778,0.094017,0.977778,0.905983,0.17154,0.89313,1.094777,0
44,1,423,56,0.88309,0.977778,0.094218,0.977778,0.905782,0.171875,0.891221,1.097121,0
44,1,422,57,0.881002,0.977778,0.094421,0.977778,0.905579,0.172211,0.889313,1.099475,0
44,1,421,58,0.878914,0.977778,0.094624,0.977778,0.905376,0.172549,0.887405,1.10184,0
44,1,420,59,0.876827,0.977778,0.094828,0.977778,0.905172,0.172888,0.885496,1.104215,0
44,1,419,60,0.874739,0.977778,0.095032,0.977778,0.904968,0.173228,0.883588,1.106599,0
44,1,418,61,0.872651,0.977778,0.095238,0.977778,0.904762,0.17357,0.881679,1.108995,0
44,1,417,62,0.870564,0.977778,0.095445,0.977778,0.904555,0.173913,0.879771,1.1114,0
44,1,416,63,0.868476,0.977778,0.095652,0.977778,0.904348,0.174257,0.877863,1.113816,0
44,1,415,64,0.866388,0.977778,0.095861,0.977778,0.904139,0.174603,0.875954,1.116243,0
44,1,414,65,0.864301,0.977778,0.09607,0.977778,0.90393,0.17495,0.874046,1.11868,0
44,1,413,66,0.862213,0.977778,0.09628,0.977778,0.90372,0.175299,0.872137,1.121128,0
44,1,412,67,0.860125,0.977778,0.096491,0.977778,0.903509,0.175649,0.870229,1.123587,0
44,1,411,68,0.858038,0.977778,0.096703,0.977778,0.903297,0.176,0.868321,1.126056,0
44,1,410,69,0.85595,0.977778,0.096916,0.977778,0.903084,0.176353,0.866412,1.128536,0
44,1,409,70,0.853862,0.977778,0.09713,0.977778,0.90287,0.176707,0.864504,1.131028,0
44,1,408,71,0.851775,0.977778,0.097345,0.977778,0.902655,0.177062,0.862595,1.13353,0
44,1,407,72,0.849687,0.977778,0.097561,0.977778,0.902439,0.177419,0.860687,1.136043,0
44,1,406,73,0.847599,0.977778,0.097778,0.977778,0.902222,0.177778,0.858779,1.138568,0
44,1,405,74,0.845511,0.977778,0.097996,0.977778,0.902004,0.178138,0.85687,1.141104,0
44,1,404,75,0.843424,0.977778,0.098214,0.977778,0.901786,0.178499,0.854962,1.143651,0
44,1,403,76,0.841336,0.977778,0.098434,0.977778,0.901566,0.178862,0.853053,1.146209,0
44,1,402,77,0.839248,0.977778,0.098655,0.977778,0.901345,0.179226,0.851145,1.148779,0
44,1,401,78,0.837161,0.977778,0.098876,0.977778,0.901124,0.179592,0.849237,1.151361,0
44,1,400,79,0.835073,0.977778,0.099099,0.977778,0.900901,0.179959,0.847328,1.153954,0
44,1,399,80,0.832985,0.977778,0.099323,0.977778,0.900677,0.180328,0.84542,1.156559,0
44,1,398,81,0.830898,0.977778,0.099548,0.977778,0.900452,0.180698,0.843511,1.159175,0
44,1,397,82,0.82881,0.977778,0.099773,0.977778,0.900227,0.18107,0.841603,1.161804,0
44,1,396,83,0.826722,0.977778,0.1,0.977778,0.9,0.181443,0.839695,1.164444,0
44,1,395,84,0.824635,0.977778,0.100228,0.977778,0.899772,0.181818,0.837786,1.167097,0
44,1,394,85,0.822547,0.977778,0.100457,0.977778,0.899543,0.182195,0.835878,1.169762,0
