@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
51,0,473,0,1,1,0.097328,1,0.902672,0.177391,1,1,0
51,0,472,1,0.997886,1,0.097514,1,0.902486,0.1777,0.998092,1.001912,0
51,0,471,2,0.995772,1,0.097701,1,0.902299,0.17801,0.996183,1.003831,0
51,0,470,3,0.993658,1,0.097889,1,0.902111,0.178322,0.994275,1.005758,0
51,0,469,4,0.991543,1,0.098077,1,0.901923,0.178634,0.992366,1.007692,0
51,0,468,5,0.989429,1,0.098266,1,0.901734,0.178947,0.990458,1.009634,0
51,0,467,6,0.987315,1,0.098456,1,0.901544,0.179262,0.98855,1.011583,0
51,0,466,7,0.985201,1,0.098646,1,0.901354,0.179577,0.986641,1.01354,0
51,0,465,8,0.983087,1,0.098837,1,0.901163,0.179894,0.984733,1.015504,0
51,0,464,9,0.980973,1,0.099029,1,0.900971,0.180212,0.982824,1.017476,0
51,0,463,10,0.978858,1,0.099222,1,0.900778,0.180531,0.980916,1.019455,0
51,0,462,11,0.976744,1,0.099415,1,0.900585,0.180851,0.979008,1.021442,0
51,0,461,12,0.97463,1,0.099609,1,0.900391,0.181172,0.977099,1.023438,0
51,0,460,13,0.972516,1,0.099804,1,0.900196,0.181495,0.975191,1.02544,0
51,0,459,14,0.970402,1,0.1,1,0.9,0.181818,0.973282,1.027451,0
51,0,458,15,0.968288,1,0.100196,1,0.899804,0.182143,0.971374,1.02947,0
51,0,457,16,0.966173,1,0.100394,1,0.899606,0.182469,0.969466,1.031496,0
51,0,456,17,0.964059,1,0.100592,1,0.899408,0.182796,0.967557,1.033531,0
51,0,455,18,0.961945,1,0.100791,1,0.899209,0.183124,0.965649,1.035573,0
51,0,454,19,0.959831,1,0.10099,1,0.89901,0.183453,0.96374,1.037624,0
51,0,453,20,0.957717,1,0.10119,1,0.89881,0.183784,0.961832,1.039683,0
51,0,452,21,0.955603,1,0.101392,1,0.898608,0.184116,0.959924,1.04175,0
51,0,451,22,0.953488,1,0.101594,1,0.898406,0.184448,0.958015,1.043825,0
51,0,450,23,0.951374,1,0.101796,1,0.898204,0.184783,0.956107,1.045908,0
51,0,449,24,0.94926,1,0.102,1,0.898,0.185118,0.954198,1.048,0
51,0,448,25,0.947146,1,0.102204,1,0.897796,0.185455,0.95229,1.0501,0
51,0,447,26,0.945032,1,0.10241,1,0.89759,0.185792,0.950382,1.052209,0
51,0,446,27,0.942918,1,0.102616,1,0.897384,0.186131,0.948473,1.054326,0
51,0,445,28,0.940803,1,0.102823,1,0.897177,0.186472,0.946565,1.056452,0
51,0,444,29,0.938689,1,0.10303,1,0.89697,0.186813,0.944656,1.058586,0
51,0,443,30,0.936575,1,0.103239,1,0.896761,0.187156,0.942748,1.060729,0
51,0,442,31,0.934461,1,0.103448,1,0.896552,0.1875,0.94084,1.06288,0
51,0,441,32,0.932347,1,0.103659,1,0.896341,0.187845,0.938931,1.065041,0
51,0,440,33,0.930233,1,0.10387,1,0.89613,0.188192,0.937023,1.06721,0
51,0,439,34,0.928118,1,0.104082,1,0.895918,0.18854,0.935115,1.069388,0
51,0,438,35,0.926004,1,0.104294,1,0.895706,0.188889,0.933206,1.071575,0
51,0,437,36,0.92389,1,0.104508,1,0.895492,0.189239,0.931298,1.07377,0
51,0,436,37,0.921776,1,0.104723,1,0.895277,0.189591,0.929389,1.075975,0
51,0,435,38,0.919662,1,0.104938,1,0.895062,0.189944,0.927481,1.078189,0
51,0,434,39,0.917548,1,0.105155,1,0.894845,0.190299,0.925573,1.080412,0
51,0,433,40,0.915433,1,0.105372,1,0.894628,0.190654,0.923664,1.082645,0
51,0,432,41,0.913319,1,0.10559,1,0.89441,0.191011,0.921756,1.084886,0
51,0,431,42,0.911205,1,0.105809,1,0.894191,0.19137,0.919847,1.087137,0
51,0,430,43,0.909091,1,0.106029,1,0.893971,0.191729,0.917939,1.089397,0
51,0,429,44,0.906977,1,0.10625,1,0.89375,0.19209,0.916031,1.091667,0
51,0,428,45,0.904863,1,0.106472,1,0.893528,0.192453,0.914122,1.093946,0
51,0,427,46,0.902748,1,0.106695,1,0.893305,0.192817,0.912214,1.096234,0
51,0,426,47,0.900634,1,0.106918,1,0.893082,0.193182,0.910305,1.098532,0
51,0,425,48,0.89852,1,0.107143,1,0.892857,0.193548,0.908397,1.10084,0
51,0,424,49,0.896406,1,0.107368,1,0.892632,0.193916,0.906489,1.103158,0
51,0,423,50,0.894292,1,0.107595,1,0.892405,0.194286,0.90458,1.105485,0
51,0,422,51,0.892178,1,0.107822,1,0.892178,0.194656,0.902672,1.107822,0
51,0,421,52,0.890063,1,0.108051,1,0.891949,0.195029,0.900763,1.110169,0
